Date	Pathways	DataNodes	GeneProducts	Proteins	Metabolites	Interactions	SignalingPathways
2020-03	2195	78519	35778	15131	5565	79751	-
2020-04	2194	78274	35580	15163	5517	79202	-
2020-05	2255	79238	36169	15222	5658	80411	812
2020-06	2246	79335	36219	15238	5684	80374	808
2020-07	2250	79393	36249	15241	5693	80369	810
2020-08	2250	79405	36260	15241	5693	80378	810
2020-09	2253	79487	36330	15245	5696	80444	816
2020-11	2316	82129	36559	15680	5784	83910	830
2020-12	2320	82226	36593	15724	5797	83936	833
2021-01	2320	82279	36586	15770	5814	84091	832
2021-02	2307	82023	36467	15818	5818	82987	833
2021-03	2312	82118	36494	15551	5889	83264	835
2021-04	2347	82335	36630	15832	5893	83416	835
2021-05	2353	82445	36691	15870	5935	83773	836
2021-06	2363	82790	36887	15884	5946	83559	845
2021-07	2379	82982	36993	15906	5951	84253	848
2021-08	2396	83570	37130	16145	5972	84972	856
2021-09	2397	83577	37137	16147	5972	84965	857
2021-10	3094	83587	37146	16145	5973	84970	857
2021-11	2367	83587	37146	16145	5973	84970	857
2021-12	2369	83654	37220	16126	5980	85126	857
2022-01	2364	83470	36972	16116	6014	84181	858
2022-02	2261	81487	35094	16107	5973	79740	811
2022-03	2279	81756	35130	16230	6039	80246	816
2022-04	2299	81993	35226	16256	6141	80870	821
2022-05	2303	82287	35364	16338	6204	81216	820
2022-06	2301	82243	35368	16302	6217	81131	820
2022-07	2302	82328	35380	16268	6340	81282	824
2022-08	2318	82536	35433	16346	6404	81657	829
2022-09	2319	82579	35449	16351	6416	81770	829
2022-10	2322	82629	35448	16369	6450	81902	829
2022-11	2329	83009	35561	16544	6502	82422	830
2022-12	2328	83027	35572	16553	6524	82413	830
2023-01	2334	83079	35523	16573	6683	82740	831
2023-02	2333	83108	35531	16874	6673	82894	832
2023-03	2350	83527	35651	16675	6828	83770	831
2023-04	2357	83748	35754	16710	6865	84104	832
2023-05	2371	84363	36071	16870	6929	84787	840
2023-06	2372	84332	36054	16851	6929	84774	840
2023-07	2384	84452	36150	16873	6964	84992	845
2023-08	2397	84797	36334	16912	7052	85657	847
2023-09	2410	84980	36389	17079	7063	85968	848
2023-10	2412	85017	36441	17088	7064	86018	849
2023-11	2415	85177	36539	16969	7137	86406	849
2023-12	2415	85179	36538	16970	7137	86419	849
2024-04	1994	52763	36998	7053	6185	57510	719
2024-05	1950	52798	37032	7032	6198	57641	719
2024-06	1954	53089	37076	7173	6270	57876	722
2024-07	1957	53136	37085	7176	6274	58041	725
2024-08	1958	53281	37185	7189	6278	58134	727
2024-09	1962	53281	37158	7189	6299	58217	729
2024-10	1964	53363	37187	7209	6318	58310	730
2024-11	1973	53776	37440	7208	6438	58736	733
2024-12	1984	53986	37501	7254	6515	59187	737
2025-01	1991	54112	37547	7296	6536	59260	737
2025-02	1989	54126	37543	7296	6542	59291	737
2025-03	1990	54142	37545	7296	6546	59281	740
2025-04	1999	54169	37565	7201	6544	59203	743
2025-05	2007	54282	37632	7214	6562	59422	744
2025-06	2016	54503	37782	7230	6592	59542	746
2025-07							
2025-08	2028	54823	37865	7325	6686	60010	751
2025-09							
2025-10	2059	55608	38401	7352	6858	62539	765
2025-11	2077	55768	38512	7379	6888	62960	767
2025-12	2080	55802	38571	7443	6890	62956	766
